experimentPhase	trialnum	subject	task	noisePercent	targetLeftRightIfOne	answerPos0	answer0	response0	correct0	responsePosRelative0	answerPos1	answer1	response1	correct1	responsePosRelative1	timingBlips
main	50 	auto 	 T1T2 	 1.0 	 right 	15 	O 	Z 	0.0 	-3.0 	15 	A 	Z 	0.0 	9.0 	0
main	51 	auto 	 T1T2 	 1.0 	 right 	11 	Z 	Z 	1.0 	0.0 	11 	M 	Z 	0.0 	13.0 	0
main	52 	auto 	 T1T2 	 1.0 	 right 	17 	N 	Z 	0.0 	-17.0 	17 	Q 	Z 	0.0 	-13.0 	0
main	53 	auto 	 T1 	 1.0 	 right 	7 	H 	Z 	0.0 	2.0 	NaN 	NaN 	NaN 	NaN 	NaN 	0
main	54 	auto 	 T1T2 	 1.0 	 right 	11 	F 	Z 	0.0 	5.0 	11 	N 	Z 	0.0 	-10.0 	0
main	55 	auto 	 T1T2 	 1.0 	 right 	9 	G 	Z 	0.0 	3.0 	9 	D 	Z 	0.0 	7.0 	0
main	56 	auto 	 T1T2 	 1.0 	 left 	9 	F 	Z 	0.0 	-3.0 	9 	O 	Z 	0.0 	-7.0 	0
main	57 	auto 	 T1 	 1.0 	 left 	13 	K 	Z 	0.0 	8.0 	NaN 	NaN 	NaN 	NaN 	NaN 	0
main	58 	auto 	 T1T2 	 1.0 	 right 	15 	E 	Z 	0.0 	9.0 	15 	U 	Z 	0.0 	-7.0 	0
main	59 	auto 	 T1 	 1.0 	 right 	9 	D 	Z 	0.0 	8.0 	NaN 	NaN 	NaN 	NaN 	NaN 	0
main	60 	auto 	 T1 	 1.0 	 left 	17 	I 	Z 	0.0 	-12.0 	NaN 	NaN 	NaN 	NaN 	NaN 	1
main	61 	auto 	 T1 	 1.0 	 left 	13 	N 	Z 	0.0 	-6.0 	NaN 	NaN 	NaN 	NaN 	NaN 	0
main	62 	auto 	 T1 	 1.0 	 left 	17 	U 	Z 	0.0 	5.0 	NaN 	NaN 	NaN 	NaN 	NaN 	0
main	63 	auto 	 T1 	 1.0 	 right 	7 	B 	Z 	0.0 	6.0 	NaN 	NaN 	NaN 	NaN 	NaN 	0
main	64 	auto 	 T1T2 	 1.0 	 right 	11 	I 	Z 	0.0 	10.0 	11 	D 	Z 	0.0 	9.0 	0
main	65 	auto 	 T1 	 1.0 	 left 	7 	C 	Z 	0.0 	14.0 	NaN 	NaN 	NaN 	NaN 	NaN 	0
main	66 	auto 	 T1 	 1.0 	 right 	13 	T 	Z 	0.0 	-7.0 	NaN 	NaN 	NaN 	NaN 	NaN 	0
main	67 	auto 	 T1T2 	 1.0 	 left 	11 	C 	Z 	0.0 	11.0 	11 	W 	Z 	0.0 	12.0 	0
main	68 	auto 	 T1T2 	 1.0 	 left 	15 	B 	Z 	0.0 	-13.0 	15 	G 	Z 	0.0 	-11.0 	0
main	69 	auto 	 T1 	 1.0 	 left 	15 	S 	Z 	0.0 	5.0 	NaN 	NaN 	NaN 	NaN 	NaN 	0
main	70 	auto 	 T1T2 	 1.0 	 right 	17 	Q 	Z 	0.0 	5.0 	17 	L 	Z 	0.0 	7.0 	0
main	71 	auto 	 T1T2 	 1.0 	 left 	15 	R 	Z 	0.0 	4.0 	15 	Z 	Z 	1.0 	0.0 	2
main	72 	auto 	 T1 	 1.0 	 left 	15 	W 	Z 	0.0 	-8.0 	NaN 	NaN 	NaN 	NaN 	NaN 	0
main	73 	auto 	 T1T2 	 1.0 	 left 	11 	W 	Z 	0.0 	10.0 	11 	Y 	Z 	0.0 	3.0 	0
main	74 	auto 	 T1 	 1.0 	 right 	13 	R 	Z 	0.0 	1.0 	NaN 	NaN 	NaN 	NaN 	NaN 	0
